pid	pcov	phit	taxn	seqn	refres	ltgres
100	70	70	1	1	species	species
99	70	70	1	1	species	species
98	70	70	1	1	species	species
97	70	70	1	1	species	species
96	70	70	1	1	species	species
95	70	70	2	2	species	species
94	70	70	3	3	genus	species
93	70	70	3	3	genus	species
92	70	70	3	3	genus	species
91	70	70	3	3	genus	species
90	70	70	3	3	genus	species
89	70	70	4	4	family	genus
88	70	70	4	4	family	genus
87	70	70	4	4	family	genus
86	70	70	4	4	family	genus
85	70	70	4	4	family	genus
84	70	70	4	4	family	genus
83	70	70	4	4	family	genus
82	70	70	4	4	family	genus
81	70	70	4	4	family	genus
80	70	70	4	4	family	genus
79	70	70	5	5	order	family
78	70	70	5	5	order	family
77	70	70	5	5	order	family
76	70	70	5	5	order	family
75	70	70	5	5	order	family
74	70	70	5	5	phylum	order
73	70	70	5	5	phylum	order
72	70	70	5	5	phylum	order
71	70	70	5	5	phylum	order
70	70	70	5	5	phylum	order
